eV,Pi_Al_GibbSorb_std.xmu.nor,Pi_Apatite_CaDefHydroxy_std.xmu.nor,Pi_Fe_GoethSorb_std.xmu.nor,Pi_K_Pyro_std.xmu.nor,Pi_Mg_Tri_std.xmu.nor,Pi_Na_Tri_std.xmu.nor,Pi_NH4_Mg_std.xmu.nor,Po_Na_AMP_std.xmu.nor
2148.99,NA,0.13295582,NA,0.11228456,0.084831685,NA,0.088868058,NA
2149.09,NA,0.13771256,NA,0.12167589,0.092298568,NA,0.097014977,NA
2149.19,NA,0.15388529,NA,0.13536091,0.10076286,NA,0.1104319,NA
2149.29,NA,0.16603514,NA,0.1493197,0.10912067,NA,0.12748471,NA
2149.39,NA,0.20278975,NA,0.17073002,0.11946265,NA,0.13537289,NA
2149.49,NA,0.21477401,NA,0.18696171,0.1307843,NA,0.15352873,NA
2149.59,NA,0.24654143,NA,0.20161757,0.1413499,NA,0.17463957,NA
2149.69,NA,0.26807148,NA,0.2287009,0.15464152,NA,0.19907311,NA
2149.79,NA,0.31613492,NA,0.25666793,0.17117738,NA,0.22119166,NA
2149.89,NA,0.35219794,NA,0.27945016,0.18974712,NA,0.2581057,NA
2149.99,NA,0.40791749,NA,0.33336594,0.20980054,NA,0.29510144,NA
2150.09,NA,0.45226003,NA,0.39001934,0.23529891,NA,0.34467301,NA
2150.19,NA,0.49815131,NA,0.46582996,0.26607539,NA,0.39746514,NA
2150.29,NA,0.56022173,NA,0.54215967,0.30422419,NA,0.45551365,NA
2150.39,NA,0.655079,NA,0.6526263,0.34586571,NA,0.52178718,NA
2150.49,NA,0.76345622,NA,0.79481356,0.40714663,NA,0.5920847,NA
2150.59,NA,0.90237022,NA,0.94018956,0.47393639,NA,0.67749772,NA
2150.69,NA,1.099007,NA,1.1368451,0.55538205,NA,0.77200047,NA
2150.79,NA,1.3625617,NA,1.3400573,0.65725156,NA,0.88487333,NA
2150.89,NA,1.6346004,NA,1.5764239,0.77314872,NA,1.0111595,NA
2150.99,NA,1.9601832,NA,1.8026372,0.89273381,NA,1.174928,NA
2151.09,NA,2.3247382,NA,2.0852035,1.0135754,NA,1.359511,NA
2151.19,NA,2.7341486,NA,2.3736282,1.1359007,NA,1.5883103,NA
2151.29,NA,3.1704917,NA,2.7516593,1.2824514,NA,1.8768226,NA
2151.39,NA,3.6757594,NA,3.1783249,1.4463059,NA,2.2048258,NA
2151.49,NA,4.2853683,NA,3.6931199,1.653113,NA,2.596144,NA
2151.59,NA,5.1530154,NA,4.305079,1.9197115,NA,3.0358999,NA
2151.69,NA,6.1593686,NA,4.9395324,2.2807126,NA,3.5057097,NA
2151.79,NA,7.1511401,NA,5.5534196,2.7218509,NA,3.9952923,NA
2151.89,NA,8.2017253,NA,6.0956465,3.2488836,NA,4.4516207,NA
2151.99,NA,9.0429754,NA,6.5558743,3.8573384,NA,4.8463773,NA
2152.09,NA,9.6671952,NA,6.825766,4.4811626,NA,5.1802429,NA
2152.19,NA,9.9250711,NA,7.0385569,5.1130442,NA,5.4335947,NA
2152.29,NA,10.086223,NA,7.1815166,5.7008764,NA,5.616564,NA
2152.39,NA,9.9645077,NA,7.2486508,6.1986932,NA,5.7207488,NA
2152.49,NA,9.7369123,NA,7.2821673,6.5838132,NA,5.7383191,NA
2152.59,NA,9.4013909,NA,7.3178466,6.8480016,NA,5.7248958,NA
2152.69,NA,8.9916463,NA,7.2385827,6.9790125,NA,5.6316939,NA
2152.79,NA,8.548842,NA,7.1333021,7.0583782,NA,5.5413041,NA
